geoName,crushed
Alabama,67
Alaska,48
Arizona,57
Arkansas,52
California,45
Colorado,49
Connecticut,58
Delaware,42
District of Columbia,47
Florida,49
Georgia,48
Hawaii,42
Idaho,50
Illinois,48
Indiana,58
Iowa,62
Kansas,53
Kentucky,61
Louisiana,57
Maine,80
Maryland,49
Massachusetts,65
Michigan,69
Minnesota,57
Mississippi,56
Missouri,100
Montana,54
Nebraska,50
Nevada,40
New Hampshire,78
New Jersey,58
New Mexico,56
New York,53
North Carolina,57
North Dakota,68
Ohio,57
Oklahoma,51
Oregon,34
Pennsylvania,63
Rhode Island,64
South Carolina,64
South Dakota,56
Tennessee,64
Texas,62
Utah,54
Vermont,63
Virginia,43
Washington,54
West Virginia,51
Wisconsin,55
Wyoming,89
