date,crushed,isPartial
2014-01-05,81,False
2014-01-12,80,False
2014-01-19,83,False
2014-01-26,77,False
2014-02-02,76,False
2014-02-09,71,False
2014-02-16,73,False
2014-02-23,85,False
2014-03-02,82,False
2014-03-09,77,False
2014-03-16,91,False
2014-03-23,96,False
2014-03-30,89,False
2014-04-06,87,False
2014-04-13,99,False
2014-04-20,93,False
2014-04-27,91,False
2014-05-04,96,False
2014-05-11,99,False
2014-05-18,89,False
2014-05-25,83,False
2014-06-01,100,False
2014-06-08,82,False
2014-06-15,85,False
2014-06-22,88,False
2014-06-29,91,False
2014-07-06,94,False
2014-07-13,79,False
2014-07-20,93,False
2014-07-27,83,False
2014-08-03,90,False
2014-08-10,84,False
2014-08-17,85,False
2014-08-24,79,False
2014-08-31,84,False
2014-09-07,80,False
2014-09-14,87,False
2014-09-21,84,False
2014-09-28,89,False
2014-10-05,80,False
2014-10-12,78,False
2014-10-19,77,False
2014-10-26,77,False
2014-11-02,78,False
2014-11-09,82,False
2014-11-16,80,False
2014-11-23,93,False
2014-11-30,76,False
2014-12-07,80,False
2014-12-14,88,False
2014-12-21,87,False
2014-12-28,83,False
