date,crushed,isPartial
2016-01-03,80,False
2016-01-10,77,False
2016-01-17,80,False
2016-01-24,78,False
2016-01-31,78,False
2016-02-07,76,False
2016-02-14,74,False
2016-02-21,84,False
2016-02-28,73,False
2016-03-06,76,False
2016-03-13,85,False
2016-03-20,90,False
2016-03-27,81,False
2016-04-03,87,False
2016-04-10,97,False
2016-04-17,87,False
2016-04-24,91,False
2016-05-01,85,False
2016-05-08,82,False
2016-05-15,88,False
2016-05-22,84,False
2016-05-29,83,False
2016-06-05,96,False
2016-06-12,77,False
2016-06-19,92,False
2016-06-26,94,False
2016-07-03,90,False
2016-07-10,76,False
2016-07-17,89,False
2016-07-24,95,False
2016-07-31,85,False
2016-08-07,77,False
2016-08-14,85,False
2016-08-21,83,False
2016-08-28,81,False
2016-09-04,86,False
2016-09-11,84,False
2016-09-18,86,False
2016-09-25,79,False
2016-10-02,95,False
2016-10-09,82,False
2016-10-16,84,False
2016-10-23,86,False
2016-10-30,85,False
2016-11-06,82,False
2016-11-13,84,False
2016-11-20,87,False
2016-11-27,92,False
2016-12-04,88,False
2016-12-11,86,False
2016-12-18,100,False
2016-12-25,81,False
