geoName,crushed
Alabama,62
Alaska,60
Arizona,48
Arkansas,51
California,43
Colorado,44
Connecticut,69
Delaware,38
District of Columbia,45
Florida,48
Georgia,48
Hawaii,41
Idaho,42
Illinois,53
Indiana,66
Iowa,65
Kansas,57
Kentucky,67
Louisiana,52
Maine,57
Maryland,54
Massachusetts,66
Michigan,60
Minnesota,49
Mississippi,50
Missouri,56
Montana,100
Nebraska,50
Nevada,50
New Hampshire,71
New Jersey,57
New Mexico,53
New York,50
North Carolina,47
North Dakota,79
Ohio,51
Oklahoma,56
Oregon,52
Pennsylvania,60
Rhode Island,77
South Carolina,55
South Dakota,40
Tennessee,57
Texas,55
Utah,53
Vermont,68
Virginia,51
Washington,51
West Virginia,56
Wisconsin,53
Wyoming,19
