geoName,crushed
Alabama,57
Alaska,41
Arizona,42
Arkansas,60
California,43
Colorado,42
Connecticut,61
Delaware,100
District of Columbia,42
Florida,45
Georgia,43
Hawaii,42
Idaho,49
Illinois,50
Indiana,66
Iowa,58
Kansas,48
Kentucky,62
Louisiana,64
Maine,75
Maryland,56
Massachusetts,61
Michigan,65
Minnesota,61
Mississippi,57
Missouri,97
Montana,52
Nebraska,54
Nevada,43
New Hampshire,81
New Jersey,51
New Mexico,43
New York,54
North Carolina,52
North Dakota,58
Ohio,57
Oklahoma,55
Oregon,31
Pennsylvania,64
Rhode Island,78
South Carolina,48
South Dakota,67
Tennessee,58
Texas,56
Utah,47
Vermont,73
Virginia,56
Washington,54
West Virginia,59
Wisconsin,62
Wyoming,46
