date,crushed,isPartial
2012-01-01,76,False
2012-01-08,87,False
2012-01-15,84,False
2012-01-22,81,False
2012-01-29,83,False
2012-02-05,73,False
2012-02-12,82,False
2012-02-19,86,False
2012-02-26,82,False
2012-03-04,81,False
2012-03-11,82,False
2012-03-18,90,False
2012-03-25,99,False
2012-04-01,84,False
2012-04-08,83,False
2012-04-15,100,False
2012-04-22,87,False
2012-04-29,84,False
2012-05-06,88,False
2012-05-13,83,False
2012-05-20,94,False
2012-05-27,93,False
2012-06-03,85,False
2012-06-10,79,False
2012-06-17,86,False
2012-06-24,75,False
2012-07-01,88,False
2012-07-08,80,False
2012-07-15,89,False
2012-07-22,80,False
2012-07-29,96,False
2012-08-05,95,False
2012-08-12,87,False
2012-08-19,84,False
2012-08-26,89,False
2012-09-02,89,False
2012-09-09,97,False
2012-09-16,76,False
2012-09-23,88,False
2012-09-30,82,False
2012-10-07,90,False
2012-10-14,71,False
2012-10-21,77,False
2012-10-28,82,False
2012-11-04,84,False
2012-11-11,100,False
2012-11-18,86,False
2012-11-25,90,False
2012-12-02,90,False
2012-12-09,92,False
2012-12-16,88,False
2012-12-23,75,False
2012-12-30,96,False
