date,crushed,isPartial
2013-01-06,60,False
2013-01-13,65,False
2013-01-20,74,False
2013-01-27,69,False
2013-02-03,63,False
2013-02-10,64,False
2013-02-17,65,False
2013-02-24,65,False
2013-03-03,75,False
2013-03-10,64,False
2013-03-17,76,False
2013-03-24,81,False
2013-03-31,78,False
2013-04-07,71,False
2013-04-14,67,False
2013-04-21,71,False
2013-04-28,81,False
2013-05-05,78,False
2013-05-12,96,False
2013-05-19,100,False
2013-05-26,93,False
2013-06-02,93,False
2013-06-09,91,False
2013-06-16,83,False
2013-06-23,80,False
2013-06-30,74,False
2013-07-07,71,False
2013-07-14,68,False
2013-07-21,81,False
2013-07-28,76,False
2013-08-04,76,False
2013-08-11,73,False
2013-08-18,77,False
2013-08-25,74,False
2013-09-01,69,False
2013-09-08,73,False
2013-09-15,66,False
2013-09-22,68,False
2013-09-29,76,False
2013-10-06,74,False
2013-10-13,76,False
2013-10-20,78,False
2013-10-27,77,False
2013-11-03,74,False
2013-11-10,78,False
2013-11-17,70,False
2013-11-24,87,False
2013-12-01,66,False
2013-12-08,77,False
2013-12-15,66,False
2013-12-22,77,False
2013-12-29,87,False
