geoName,injured
Alabama,84
Alaska,47
Arizona,61
Arkansas,79
California,58
Colorado,68
Connecticut,64
Delaware,100
District of Columbia,70
Florida,66
Georgia,68
Hawaii,57
Idaho,64
Illinois,65
Indiana,75
Iowa,69
Kansas,61
Kentucky,67
Louisiana,75
Maine,67
Maryland,58
Massachusetts,61
Michigan,64
Minnesota,63
Mississippi,74
Missouri,72
Montana,50
Nebraska,78
Nevada,54
New Hampshire,60
New Jersey,63
New Mexico,33
New York,56
North Carolina,63
North Dakota,71
Ohio,72
Oklahoma,80
Oregon,60
Pennsylvania,66
Rhode Island,65
South Carolina,61
South Dakota,80
Tennessee,68
Texas,63
Utah,59
Vermont,65
Virginia,66
Washington,62
West Virginia,55
Wisconsin,67
Wyoming,69
