geoName,injured
Alabama,88
Alaska,58
Arizona,77
Arkansas,84
California,74
Colorado,75
Connecticut,70
Delaware,63
District of Columbia,79
Florida,80
Georgia,78
Hawaii,84
Idaho,67
Illinois,79
Indiana,86
Iowa,88
Kansas,97
Kentucky,87
Louisiana,82
Maine,93
Maryland,86
Massachusetts,70
Michigan,78
Minnesota,78
Mississippi,84
Missouri,85
Montana,87
Nebraska,91
Nevada,76
New Hampshire,94
New Jersey,79
New Mexico,79
New York,79
North Carolina,87
North Dakota,79
Ohio,87
Oklahoma,92
Oregon,84
Pennsylvania,85
Rhode Island,74
South Carolina,89
South Dakota,88
Tennessee,81
Texas,76
Utah,67
Vermont,52
Virginia,79
Washington,82
West Virginia,89
Wisconsin,100
Wyoming,90
