geoName,injured
Alabama,82
Alaska,67
Arizona,76
Arkansas,75
California,74
Colorado,86
Connecticut,76
Delaware,92
District of Columbia,64
Florida,76
Georgia,72
Hawaii,72
Idaho,93
Illinois,81
Indiana,85
Iowa,85
Kansas,80
Kentucky,87
Louisiana,75
Maine,78
Maryland,75
Massachusetts,77
Michigan,80
Minnesota,78
Mississippi,88
Missouri,76
Montana,78
Nebraska,100
Nevada,81
New Hampshire,70
New Jersey,81
New Mexico,77
New York,71
North Carolina,81
North Dakota,92
Ohio,83
Oklahoma,79
Oregon,49
Pennsylvania,84
Rhode Island,93
South Carolina,86
South Dakota,81
Tennessee,80
Texas,69
Utah,63
Vermont,81
Virginia,61
Washington,84
West Virginia,87
Wisconsin,81
Wyoming,97
