geoName,injured
Alabama,74
Alaska,90
Arizona,70
Arkansas,71
California,68
Colorado,74
Connecticut,84
Delaware,88
District of Columbia,68
Florida,69
Georgia,73
Hawaii,69
Idaho,87
Illinois,69
Indiana,76
Iowa,95
Kansas,73
Kentucky,83
Louisiana,68
Maine,80
Maryland,73
Massachusetts,74
Michigan,76
Minnesota,77
Mississippi,78
Missouri,78
Montana,61
Nebraska,76
Nevada,67
New Hampshire,67
New Jersey,69
New Mexico,65
New York,59
North Carolina,77
North Dakota,100
Ohio,84
Oklahoma,76
Oregon,68
Pennsylvania,76
Rhode Island,84
South Carolina,72
South Dakota,74
Tennessee,76
Texas,67
Utah,71
Vermont,74
Virginia,74
Washington,78
West Virginia,70
Wisconsin,81
Wyoming,57
