geoName,inability
Alabama,55
Alaska,84
Arizona,43
Arkansas,38
California,31
Colorado,34
Connecticut,47
Delaware,37
District of Columbia,33
Florida,35
Georgia,34
Hawaii,31
Idaho,62
Illinois,33
Indiana,46
Iowa,58
Kansas,64
Kentucky,42
Louisiana,32
Maine,86
Maryland,53
Massachusetts,45
Michigan,41
Minnesota,26
Mississippi,26
Missouri,41
Montana,100
Nebraska,31
Nevada,26
New Hampshire,46
New Jersey,36
New Mexico,45
New York,35
North Carolina,30
North Dakota,57
Ohio,38
Oklahoma,34
Oregon,29
Pennsylvania,39
Rhode Island,59
South Carolina,49
South Dakota,48
Tennessee,39
Texas,37
Utah,41
Vermont,60
Virginia,40
Washington,37
West Virginia,25
Wisconsin,39
Wyoming,16
