date,inability,isPartial
2012-01-01,59,False
2012-01-08,57,False
2012-01-15,65,False
2012-01-22,72,False
2012-01-29,88,False
2012-02-05,93,False
2012-02-12,80,False
2012-02-19,80,False
2012-02-26,89,False
2012-03-04,88,False
2012-03-11,91,False
2012-03-18,88,False
2012-03-25,78,False
2012-04-01,83,False
2012-04-08,83,False
2012-04-15,92,False
2012-04-22,79,False
2012-04-29,74,False
2012-05-06,81,False
2012-05-13,88,False
2012-05-20,73,False
2012-05-27,62,False
2012-06-03,76,False
2012-06-10,76,False
2012-06-17,60,False
2012-06-24,73,False
2012-07-01,68,False
2012-07-08,67,False
2012-07-15,61,False
2012-07-22,67,False
2012-07-29,59,False
2012-08-05,60,False
2012-08-12,61,False
2012-08-19,47,False
2012-08-26,74,False
2012-09-02,62,False
2012-09-09,78,False
2012-09-16,70,False
2012-09-23,85,False
2012-09-30,90,False
2012-10-07,87,False
2012-10-14,100,False
2012-10-21,94,False
2012-10-28,93,False
2012-11-04,76,False
2012-11-11,96,False
2012-11-18,71,False
2012-11-25,92,False
2012-12-02,87,False
2012-12-09,90,False
2012-12-16,66,False
2012-12-23,41,False
2012-12-30,60,False
