date,inability,isPartial
2013-01-06,70,False
2013-01-13,71,False
2013-01-20,78,False
2013-01-27,83,False
2013-02-03,84,False
2013-02-10,70,False
2013-02-17,78,False
2013-02-24,80,False
2013-03-03,88,False
2013-03-10,78,False
2013-03-17,77,False
2013-03-24,94,False
2013-03-31,81,False
2013-04-07,81,False
2013-04-14,76,False
2013-04-21,100,False
2013-04-28,92,False
2013-05-05,65,False
2013-05-12,63,False
2013-05-19,82,False
2013-05-26,54,False
2013-06-02,63,False
2013-06-09,65,False
2013-06-16,58,False
2013-06-23,58,False
2013-06-30,62,False
2013-07-07,60,False
2013-07-14,70,False
2013-07-21,67,False
2013-07-28,53,False
2013-08-04,67,False
2013-08-11,47,False
2013-08-18,57,False
2013-08-25,69,False
2013-09-01,57,False
2013-09-08,87,False
2013-09-15,84,False
2013-09-22,89,False
2013-09-29,91,False
2013-10-06,87,False
2013-10-13,89,False
2013-10-20,87,False
2013-10-27,82,False
2013-11-03,90,False
2013-11-10,92,False
2013-11-17,94,False
2013-11-24,79,False
2013-12-01,80,False
2013-12-08,93,False
2013-12-15,72,False
2013-12-22,45,False
2013-12-29,57,False
