date,inability,isPartial
2014-01-05,59,False
2014-01-12,68,False
2014-01-19,59,False
2014-01-26,70,False
2014-02-02,79,False
2014-02-09,76,False
2014-02-16,79,False
2014-02-23,78,False
2014-03-02,74,False
2014-03-09,86,False
2014-03-16,71,False
2014-03-23,72,False
2014-03-30,89,False
2014-04-06,73,False
2014-04-13,94,False
2014-04-20,79,False
2014-04-27,85,False
2014-05-04,82,False
2014-05-11,75,False
2014-05-18,74,False
2014-05-25,84,False
2014-06-01,58,False
2014-06-08,64,False
2014-06-15,51,False
2014-06-22,44,False
2014-06-29,71,False
2014-07-06,65,False
2014-07-13,55,False
2014-07-20,64,False
2014-07-27,60,False
2014-08-03,72,False
2014-08-10,67,False
2014-08-17,58,False
2014-08-24,58,False
2014-08-31,73,False
2014-09-07,68,False
2014-09-14,81,False
2014-09-21,88,False
2014-09-28,85,False
2014-10-05,93,False
2014-10-12,87,False
2014-10-19,86,False
2014-10-26,100,False
2014-11-02,74,False
2014-11-09,89,False
2014-11-16,87,False
2014-11-23,64,False
2014-11-30,81,False
2014-12-07,69,False
2014-12-14,79,False
2014-12-21,49,False
2014-12-28,54,False
