geoName,inability
Alabama,29
Alaska,31
Arizona,42
Arkansas,43
California,35
Colorado,43
Connecticut,34
Delaware,39
District of Columbia,42
Florida,42
Georgia,39
Hawaii,29
Idaho,100
Illinois,42
Indiana,56
Iowa,55
Kansas,52
Kentucky,34
Louisiana,35
Maine,39
Maryland,38
Massachusetts,42
Michigan,38
Minnesota,31
Mississippi,49
Missouri,40
Montana,40
Nebraska,66
Nevada,30
New Hampshire,52
New Jersey,45
New Mexico,49
New York,39
North Carolina,43
North Dakota,0
Ohio,42
Oklahoma,48
Oregon,49
Pennsylvania,50
Rhode Island,30
South Carolina,55
South Dakota,69
Tennessee,46
Texas,41
Utah,42
Vermont,15
Virginia,49
Washington,42
West Virginia,60
Wisconsin,50
Wyoming,26
