geoName,wretched
Alabama,70
Alaska,91
Arizona,50
Arkansas,53
California,54
Colorado,52
Connecticut,47
Delaware,80
District of Columbia,53
Florida,46
Georgia,56
Hawaii,56
Idaho,100
Illinois,56
Indiana,59
Iowa,63
Kansas,62
Kentucky,66
Louisiana,51
Maine,28
Maryland,51
Massachusetts,50
Michigan,52
Minnesota,64
Mississippi,29
Missouri,53
Montana,79
Nebraska,32
Nevada,63
New Hampshire,56
New Jersey,53
New Mexico,58
New York,56
North Carolina,61
North Dakota,53
Ohio,58
Oklahoma,61
Oregon,70
Pennsylvania,63
Rhode Island,61
South Carolina,52
South Dakota,26
Tennessee,55
Texas,47
Utah,54
Vermont,86
Virginia,45
Washington,51
West Virginia,52
Wisconsin,50
Wyoming,39
