geoName,wretched
Alabama,49
Alaska,34
Arizona,56
Arkansas,50
California,45
Colorado,48
Connecticut,48
Delaware,100
District of Columbia,39
Florida,44
Georgia,51
Hawaii,18
Idaho,69
Illinois,44
Indiana,60
Iowa,38
Kansas,55
Kentucky,57
Louisiana,53
Maine,29
Maryland,47
Massachusetts,49
Michigan,52
Minnesota,45
Mississippi,36
Missouri,40
Montana,54
Nebraska,47
Nevada,50
New Hampshire,51
New Jersey,41
New Mexico,67
New York,41
North Carolina,52
North Dakota,45
Ohio,55
Oklahoma,44
Oregon,39
Pennsylvania,47
Rhode Island,41
South Carolina,52
South Dakota,28
Tennessee,47
Texas,42
Utah,62
Vermont,27
Virginia,39
Washington,44
West Virginia,90
Wisconsin,52
Wyoming,72
