date,wretched,isPartial
2015-01-04,95,False
2015-01-11,76,False
2015-01-18,74,False
2015-01-25,70,False
2015-02-01,69,False
2015-02-08,62,False
2015-02-15,60,False
2015-02-22,71,False
2015-03-01,76,False
2015-03-08,69,False
2015-03-15,63,False
2015-03-22,81,False
2015-03-29,63,False
2015-04-05,67,False
2015-04-12,77,False
2015-04-19,72,False
2015-04-26,91,False
2015-05-03,100,False
2015-05-10,68,False
2015-05-17,66,False
2015-05-24,77,False
2015-05-31,70,False
2015-06-07,62,False
2015-06-14,52,False
2015-06-21,58,False
2015-06-28,55,False
2015-07-05,44,False
2015-07-12,67,False
2015-07-19,54,False
2015-07-26,54,False
2015-08-02,44,False
2015-08-09,52,False
2015-08-16,43,False
2015-08-23,68,False
2015-08-30,76,False
2015-09-06,63,False
2015-09-13,66,False
2015-09-20,78,False
2015-09-27,71,False
2015-10-04,57,False
2015-10-11,71,False
2015-10-18,76,False
2015-10-25,87,False
2015-11-01,70,False
2015-11-08,58,False
2015-11-15,86,False
2015-11-22,67,False
2015-11-29,77,False
2015-12-06,88,False
2015-12-13,84,False
2015-12-20,56,False
2015-12-27,61,False
