date,wretched,isPartial
2012-01-01,100,False
2012-01-08,93,False
2012-01-15,95,False
2012-01-22,94,False
2012-01-29,88,False
2012-02-05,77,False
2012-02-12,87,False
2012-02-19,73,False
2012-02-26,79,False
2012-03-04,64,False
2012-03-11,59,False
2012-03-18,97,False
2012-03-25,79,False
2012-04-01,77,False
2012-04-08,69,False
2012-04-15,82,False
2012-04-22,68,False
2012-04-29,76,False
2012-05-06,68,False
2012-05-13,63,False
2012-05-20,70,False
2012-05-27,67,False
2012-06-03,70,False
2012-06-10,55,False
2012-06-17,48,False
2012-06-24,61,False
2012-07-01,64,False
2012-07-08,57,False
2012-07-15,65,False
2012-07-22,50,False
2012-07-29,61,False
2012-08-05,57,False
2012-08-12,52,False
2012-08-19,66,False
2012-08-26,59,False
2012-09-02,70,False
2012-09-09,48,False
2012-09-16,59,False
2012-09-23,52,False
2012-09-30,47,False
2012-10-07,61,False
2012-10-14,65,False
2012-10-21,68,False
2012-10-28,73,False
2012-11-04,66,False
2012-11-11,73,False
2012-11-18,59,False
2012-11-25,68,False
2012-12-02,64,False
2012-12-09,89,False
2012-12-16,62,False
2012-12-23,86,False
2012-12-30,76,False
