date,wretched,isPartial
2016-01-03,47,False
2016-01-10,33,False
2016-01-17,43,False
2016-01-24,40,False
2016-01-31,46,False
2016-02-07,42,False
2016-02-14,41,False
2016-02-21,43,False
2016-02-28,41,False
2016-03-06,41,False
2016-03-13,41,False
2016-03-20,43,False
2016-03-27,50,False
2016-04-03,46,False
2016-04-10,42,False
2016-04-17,50,False
2016-04-24,43,False
2016-05-01,50,False
2016-05-08,41,False
2016-05-15,52,False
2016-05-22,39,False
2016-05-29,35,False
2016-06-05,34,False
2016-06-12,20,False
2016-06-19,30,False
2016-06-26,39,False
2016-07-03,35,False
2016-07-10,29,False
2016-07-17,28,False
2016-07-24,25,False
2016-07-31,24,False
2016-08-07,41,False
2016-08-14,22,False
2016-08-21,27,False
2016-08-28,30,False
2016-09-04,36,False
2016-09-11,36,False
2016-09-18,100,False
2016-09-25,62,False
2016-10-02,46,False
2016-10-09,51,False
2016-10-16,46,False
2016-10-23,56,False
2016-10-30,44,False
2016-11-06,52,False
2016-11-13,67,False
2016-11-20,40,False
2016-11-27,47,False
2016-12-04,45,False
2016-12-11,42,False
2016-12-18,36,False
2016-12-25,35,False
