date,wretched,isPartial
2013-01-06,100,False
2013-01-13,69,False
2013-01-20,50,False
2013-01-27,52,False
2013-02-03,45,False
2013-02-10,47,False
2013-02-17,55,False
2013-02-24,38,False
2013-03-03,36,False
2013-03-10,38,False
2013-03-17,48,False
2013-03-24,42,False
2013-03-31,44,False
2013-04-07,45,False
2013-04-14,46,False
2013-04-21,46,False
2013-04-28,59,False
2013-05-05,48,False
2013-05-12,38,False
2013-05-19,43,False
2013-05-26,38,False
2013-06-02,33,False
2013-06-09,51,False
2013-06-16,36,False
2013-06-23,39,False
2013-06-30,39,False
2013-07-07,34,False
2013-07-14,37,False
2013-07-21,35,False
2013-07-28,32,False
2013-08-04,32,False
2013-08-11,31,False
2013-08-18,36,False
2013-08-25,35,False
2013-09-01,41,False
2013-09-08,36,False
2013-09-15,35,False
2013-09-22,40,False
2013-09-29,46,False
2013-10-06,40,False
2013-10-13,39,False
2013-10-20,40,False
2013-10-27,51,False
2013-11-03,41,False
2013-11-10,44,False
2013-11-17,41,False
2013-11-24,36,False
2013-12-01,38,False
2013-12-08,32,False
2013-12-15,39,False
2013-12-22,40,False
2013-12-29,39,False
