geoName,wretched
Alabama,54
Alaska,82
Arizona,47
Arkansas,50
California,47
Colorado,48
Connecticut,64
Delaware,46
District of Columbia,45
Florida,48
Georgia,47
Hawaii,50
Idaho,62
Illinois,46
Indiana,39
Iowa,37
Kansas,48
Kentucky,52
Louisiana,60
Maine,30
Maryland,44
Massachusetts,41
Michigan,43
Minnesota,52
Mississippi,90
Missouri,51
Montana,54
Nebraska,50
Nevada,35
New Hampshire,32
New Jersey,38
New Mexico,42
New York,47
North Carolina,49
North Dakota,40
Ohio,55
Oklahoma,38
Oregon,38
Pennsylvania,45
Rhode Island,49
South Carolina,49
South Dakota,51
Tennessee,45
Texas,47
Utah,57
Vermont,48
Virginia,25
Washington,40
West Virginia,17
Wisconsin,40
Wyoming,100
