date,wretched,isPartial
2011-01-02,50,False
2011-01-09,52,False
2011-01-16,48,False
2011-01-23,61,False
2011-01-30,61,False
2011-02-06,47,False
2011-02-13,46,False
2011-02-20,58,False
2011-02-27,61,False
2011-03-06,71,False
2011-03-13,53,False
2011-03-20,62,False
2011-03-27,76,False
2011-04-03,55,False
2011-04-10,58,False
2011-04-17,47,False
2011-04-24,67,False
2011-05-01,76,False
2011-05-08,67,False
2011-05-15,57,False
2011-05-22,67,False
2011-05-29,37,False
2011-06-05,42,False
2011-06-12,51,False
2011-06-19,57,False
2011-06-26,51,False
2011-07-03,62,False
2011-07-10,36,False
2011-07-17,43,False
2011-07-24,46,False
2011-07-31,38,False
2011-08-07,40,False
2011-08-14,67,False
2011-08-21,46,False
2011-08-28,44,False
2011-09-04,54,False
2011-09-11,50,False
2011-09-18,43,False
2011-09-25,49,False
2011-10-02,44,False
2011-10-09,42,False
2011-10-16,47,False
2011-10-23,50,False
2011-10-30,54,False
2011-11-06,44,False
2011-11-13,60,False
2011-11-20,83,False
2011-11-27,82,False
2011-12-04,100,False
2011-12-11,99,False
2011-12-18,75,False
2011-12-25,86,False
