geoName,wretched
Alabama,56
Alaska,71
Arizona,61
Arkansas,47
California,51
Colorado,42
Connecticut,73
Delaware,85
District of Columbia,72
Florida,50
Georgia,62
Hawaii,47
Idaho,78
Illinois,58
Indiana,55
Iowa,53
Kansas,73
Kentucky,80
Louisiana,51
Maine,79
Maryland,60
Massachusetts,52
Michigan,63
Minnesota,55
Mississippi,60
Missouri,60
Montana,87
Nebraska,68
Nevada,72
New Hampshire,51
New Jersey,63
New Mexico,69
New York,55
North Carolina,58
North Dakota,63
Ohio,70
Oklahoma,58
Oregon,27
Pennsylvania,66
Rhode Island,59
South Carolina,70
South Dakota,99
Tennessee,54
Texas,54
Utah,63
Vermont,69
Virginia,61
Washington,35
West Virginia,99
Wisconsin,55
Wyoming,100
