geoName,wretched
Alabama,49
Alaska,56
Arizona,54
Arkansas,65
California,48
Colorado,61
Connecticut,45
Delaware,49
District of Columbia,60
Florida,53
Georgia,76
Hawaii,24
Idaho,66
Illinois,48
Indiana,76
Iowa,65
Kansas,84
Kentucky,56
Louisiana,52
Maine,59
Maryland,51
Massachusetts,62
Michigan,51
Minnesota,50
Mississippi,44
Missouri,53
Montana,20
Nebraska,36
Nevada,83
New Hampshire,31
New Jersey,58
New Mexico,80
New York,57
North Carolina,77
North Dakota,50
Ohio,75
Oklahoma,50
Oregon,46
Pennsylvania,65
Rhode Island,72
South Carolina,78
South Dakota,52
Tennessee,72
Texas,55
Utah,51
Vermont,23
Virginia,69
Washington,55
West Virginia,91
Wisconsin,67
Wyoming,100
