date,friends,isPartial
2013-01-06,86,False
2013-01-13,89,False
2013-01-20,88,False
2013-01-27,87,False
2013-02-03,85,False
2013-02-10,84,False
2013-02-17,85,False
2013-02-24,80,False
2013-03-03,83,False
2013-03-10,81,False
2013-03-17,83,False
2013-03-24,83,False
2013-03-31,84,False
2013-04-07,84,False
2013-04-14,100,False
2013-04-21,89,False
2013-04-28,85,False
2013-05-05,83,False
2013-05-12,85,False
2013-05-19,92,False
2013-05-26,90,False
2013-06-02,84,False
2013-06-09,90,False
2013-06-16,87,False
2013-06-23,84,False
2013-06-30,86,False
2013-07-07,89,False
2013-07-14,81,False
2013-07-21,82,False
2013-07-28,85,False
2013-08-04,85,False
2013-08-11,82,False
2013-08-18,83,False
2013-08-25,78,False
2013-09-01,77,False
2013-09-08,77,False
2013-09-15,78,False
2013-09-22,74,False
2013-09-29,72,False
2013-10-06,72,False
2013-10-13,76,False
2013-10-20,74,False
2013-10-27,76,False
2013-11-03,79,False
2013-11-10,79,False
2013-11-17,76,False
2013-11-24,86,False
2013-12-01,80,False
2013-12-08,81,False
2013-12-15,81,False
2013-12-22,87,False
2013-12-29,87,False
