date,friends,isPartial
2012-01-01,100,False
2012-01-08,99,False
2012-01-15,97,False
2012-01-22,95,False
2012-01-29,94,False
2012-02-05,94,False
2012-02-12,96,False
2012-02-19,93,False
2012-02-26,91,False
2012-03-04,89,False
2012-03-11,88,False
2012-03-18,83,False
2012-03-25,84,False
2012-04-01,82,False
2012-04-08,80,False
2012-04-15,77,False
2012-04-22,78,False
2012-04-29,75,False
2012-05-06,78,False
2012-05-13,73,False
2012-05-20,71,False
2012-05-27,75,False
2012-06-03,76,False
2012-06-10,74,False
2012-06-17,73,False
2012-06-24,70,False
2012-07-01,73,False
2012-07-08,75,False
2012-07-15,75,False
2012-07-22,73,False
2012-07-29,72,False
2012-08-05,73,False
2012-08-12,69,False
2012-08-19,70,False
2012-08-26,67,False
2012-09-02,66,False
2012-09-09,66,False
2012-09-16,65,False
2012-09-23,64,False
2012-09-30,63,False
2012-10-07,63,False
2012-10-14,67,False
2012-10-21,67,False
2012-10-28,64,False
2012-11-04,69,False
2012-11-11,71,False
2012-11-18,73,False
2012-11-25,70,False
2012-12-02,72,False
2012-12-09,72,False
2012-12-16,69,False
2012-12-23,78,False
2012-12-30,78,False
