geoName,friends
Alabama,78
Alaska,74
Arizona,80
Arkansas,81
California,74
Colorado,83
Connecticut,86
Delaware,100
District of Columbia,71
Florida,72
Georgia,72
Hawaii,78
Idaho,76
Illinois,80
Indiana,87
Iowa,87
Kansas,88
Kentucky,84
Louisiana,74
Maine,89
Maryland,89
Massachusetts,81
Michigan,81
Minnesota,80
Mississippi,73
Missouri,80
Montana,74
Nebraska,86
Nevada,79
New Hampshire,93
New Jersey,92
New Mexico,72
New York,80
North Carolina,77
North Dakota,89
Ohio,87
Oklahoma,81
Oregon,76
Pennsylvania,96
Rhode Island,91
South Carolina,77
South Dakota,84
Tennessee,78
Texas,74
Utah,80
Vermont,87
Virginia,81
Washington,78
West Virginia,90
Wisconsin,81
Wyoming,82
