date,friends,isPartial
2011-01-02,54,False
2011-01-09,55,False
2011-01-16,55,False
2011-01-23,54,False
2011-01-30,54,False
2011-02-06,54,False
2011-02-13,59,False
2011-02-20,62,False
2011-02-27,62,False
2011-03-06,64,False
2011-03-13,62,False
2011-03-20,65,False
2011-03-27,66,False
2011-04-03,67,False
2011-04-10,68,False
2011-04-17,67,False
2011-04-24,68,False
2011-05-01,65,False
2011-05-08,66,False
2011-05-15,70,False
2011-05-22,70,False
2011-05-29,71,False
2011-06-05,74,False
2011-06-12,77,False
2011-06-19,80,False
2011-06-26,80,False
2011-07-03,75,False
2011-07-10,82,False
2011-07-17,89,False
2011-07-24,89,False
2011-07-31,81,False
2011-08-07,81,False
2011-08-14,78,False
2011-08-21,76,False
2011-08-28,72,False
2011-09-04,76,False
2011-09-11,77,False
2011-09-18,75,False
2011-09-25,75,False
2011-10-02,76,False
2011-10-09,73,False
2011-10-16,82,False
2011-10-23,78,False
2011-10-30,79,False
2011-11-06,80,False
2011-11-13,78,False
2011-11-20,82,False
2011-11-27,86,False
2011-12-04,97,False
2011-12-11,91,False
2011-12-18,91,False
2011-12-25,100,False
