geoName,friends
Alabama,71
Alaska,73
Arizona,71
Arkansas,82
California,80
Colorado,78
Connecticut,78
Delaware,100
District of Columbia,67
Florida,76
Georgia,72
Hawaii,87
Idaho,63
Illinois,75
Indiana,79
Iowa,66
Kansas,83
Kentucky,87
Louisiana,90
Maine,71
Maryland,77
Massachusetts,75
Michigan,69
Minnesota,63
Mississippi,75
Missouri,72
Montana,55
Nebraska,67
Nevada,81
New Hampshire,75
New Jersey,89
New Mexico,64
New York,72
North Carolina,67
North Dakota,65
Ohio,75
Oklahoma,86
Oregon,68
Pennsylvania,93
Rhode Island,81
South Carolina,69
South Dakota,60
Tennessee,73
Texas,80
Utah,70
Vermont,69
Virginia,72
Washington,69
West Virginia,86
Wisconsin,68
Wyoming,58
