geoName,friends
Alabama,77
Alaska,78
Arizona,81
Arkansas,80
California,80
Colorado,90
Connecticut,84
Delaware,100
District of Columbia,75
Florida,73
Georgia,76
Hawaii,82
Idaho,80
Illinois,79
Indiana,87
Iowa,85
Kansas,82
Kentucky,84
Louisiana,80
Maine,91
Maryland,82
Massachusetts,82
Michigan,82
Minnesota,80
Mississippi,79
Missouri,80
Montana,77
Nebraska,78
Nevada,73
New Hampshire,90
New Jersey,91
New Mexico,75
New York,86
North Carolina,76
North Dakota,86
Ohio,86
Oklahoma,84
Oregon,74
Pennsylvania,96
Rhode Island,92
South Carolina,77
South Dakota,78
Tennessee,79
Texas,76
Utah,84
Vermont,81
Virginia,79
Washington,75
West Virginia,93
Wisconsin,83
Wyoming,82
