geoName,friends
Alabama,77
Alaska,76
Arizona,74
Arkansas,76
California,74
Colorado,83
Connecticut,85
Delaware,100
District of Columbia,71
Florida,73
Georgia,72
Hawaii,80
Idaho,76
Illinois,77
Indiana,82
Iowa,79
Kansas,81
Kentucky,78
Louisiana,79
Maine,85
Maryland,82
Massachusetts,81
Michigan,84
Minnesota,80
Mississippi,72
Missouri,80
Montana,76
Nebraska,77
Nevada,75
New Hampshire,89
New Jersey,87
New Mexico,74
New York,81
North Carolina,77
North Dakota,83
Ohio,84
Oklahoma,78
Oregon,54
Pennsylvania,96
Rhode Island,85
South Carolina,78
South Dakota,70
Tennessee,77
Texas,74
Utah,74
Vermont,78
Virginia,78
Washington,74
West Virginia,90
Wisconsin,77
Wyoming,71
