geoName,friends
Alabama,81
Alaska,84
Arizona,81
Arkansas,85
California,81
Colorado,89
Connecticut,86
Delaware,100
District of Columbia,77
Florida,77
Georgia,78
Hawaii,80
Idaho,81
Illinois,74
Indiana,80
Iowa,87
Kansas,76
Kentucky,86
Louisiana,81
Maine,94
Maryland,83
Massachusetts,88
Michigan,85
Minnesota,82
Mississippi,78
Missouri,78
Montana,84
Nebraska,83
Nevada,81
New Hampshire,91
New Jersey,89
New Mexico,79
New York,88
North Carolina,78
North Dakota,83
Ohio,89
Oklahoma,80
Oregon,64
Pennsylvania,93
Rhode Island,92
South Carolina,76
South Dakota,81
Tennessee,80
Texas,74
Utah,86
Vermont,84
Virginia,65
Washington,81
West Virginia,92
Wisconsin,81
Wyoming,88
