geoName,friends
Alabama,76
Alaska,77
Arizona,80
Arkansas,80
California,77
Colorado,89
Connecticut,85
Delaware,100
District of Columbia,75
Florida,77
Georgia,75
Hawaii,82
Idaho,81
Illinois,78
Indiana,86
Iowa,86
Kansas,83
Kentucky,84
Louisiana,79
Maine,94
Maryland,86
Massachusetts,83
Michigan,85
Minnesota,82
Mississippi,79
Missouri,81
Montana,81
Nebraska,82
Nevada,82
New Hampshire,90
New Jersey,90
New Mexico,78
New York,83
North Carolina,81
North Dakota,88
Ohio,86
Oklahoma,83
Oregon,52
Pennsylvania,100
Rhode Island,91
South Carolina,79
South Dakota,78
Tennessee,82
Texas,76
Utah,84
Vermont,87
Virginia,70
Washington,76
West Virginia,91
Wisconsin,81
Wyoming,80
