geoName,anxious
Alabama,77
Alaska,69
Arizona,77
Arkansas,81
California,78
Colorado,69
Connecticut,74
Delaware,68
District of Columbia,91
Florida,77
Georgia,81
Hawaii,54
Idaho,73
Illinois,78
Indiana,73
Iowa,79
Kansas,77
Kentucky,64
Louisiana,96
Maine,81
Maryland,81
Massachusetts,79
Michigan,68
Minnesota,81
Mississippi,68
Missouri,71
Montana,59
Nebraska,38
Nevada,74
New Hampshire,78
New Jersey,73
New Mexico,81
New York,78
North Carolina,80
North Dakota,46
Ohio,73
Oklahoma,72
Oregon,71
Pennsylvania,77
Rhode Island,100
South Carolina,91
South Dakota,61
Tennessee,77
Texas,80
Utah,40
Vermont,83
Virginia,72
Washington,59
West Virginia,86
Wisconsin,68
Wyoming,64
