date,anxious,isPartial
2013-01-06,90,False
2013-01-13,77,False
2013-01-20,73,False
2013-01-27,79,False
2013-02-03,73,False
2013-02-10,85,False
2013-02-17,76,False
2013-02-24,89,False
2013-03-03,79,False
2013-03-10,88,False
2013-03-17,91,False
2013-03-24,88,False
2013-03-31,79,False
2013-04-07,96,False
2013-04-14,91,False
2013-04-21,77,False
2013-04-28,83,False
2013-05-05,85,False
2013-05-12,80,False
2013-05-19,91,False
2013-05-26,89,False
2013-06-02,86,False
2013-06-09,78,False
2013-06-16,84,False
2013-06-23,82,False
2013-06-30,75,False
2013-07-07,84,False
2013-07-14,78,False
2013-07-21,87,False
2013-07-28,77,False
2013-08-04,86,False
2013-08-11,80,False
2013-08-18,85,False
2013-08-25,90,False
2013-09-01,88,False
2013-09-08,94,False
2013-09-15,100,False
2013-09-22,92,False
2013-09-29,87,False
2013-10-06,88,False
2013-10-13,85,False
2013-10-20,76,False
2013-10-27,84,False
2013-11-03,90,False
2013-11-10,85,False
2013-11-17,90,False
2013-11-24,77,False
2013-12-01,100,False
2013-12-08,88,False
2013-12-15,84,False
2013-12-22,71,False
2013-12-29,82,False
