geoName,anxious
Alabama,78
Alaska,65
Arizona,80
Arkansas,81
California,84
Colorado,69
Connecticut,77
Delaware,80
District of Columbia,73
Florida,74
Georgia,87
Hawaii,82
Idaho,97
Illinois,76
Indiana,74
Iowa,73
Kansas,67
Kentucky,80
Louisiana,77
Maine,67
Maryland,91
Massachusetts,79
Michigan,77
Minnesota,79
Mississippi,100
Missouri,75
Montana,93
Nebraska,72
Nevada,76
New Hampshire,54
New Jersey,69
New Mexico,81
New York,80
North Carolina,85
North Dakota,56
Ohio,78
Oklahoma,83
Oregon,49
Pennsylvania,76
Rhode Island,91
South Carolina,83
South Dakota,88
Tennessee,89
Texas,81
Utah,59
Vermont,96
Virginia,58
Washington,77
West Virginia,73
Wisconsin,66
Wyoming,71
