geoName,anxious
Alabama,86
Alaska,46
Arizona,70
Arkansas,84
California,78
Colorado,64
Connecticut,83
Delaware,81
District of Columbia,78
Florida,78
Georgia,77
Hawaii,91
Idaho,69
Illinois,78
Indiana,80
Iowa,54
Kansas,72
Kentucky,89
Louisiana,90
Maine,77
Maryland,82
Massachusetts,84
Michigan,72
Minnesota,70
Mississippi,64
Missouri,72
Montana,53
Nebraska,66
Nevada,66
New Hampshire,72
New Jersey,81
New Mexico,77
New York,79
North Carolina,71
North Dakota,85
Ohio,68
Oklahoma,78
Oregon,42
Pennsylvania,79
Rhode Island,100
South Carolina,88
South Dakota,62
Tennessee,93
Texas,80
Utah,73
Vermont,71
Virginia,82
Washington,73
West Virginia,81
Wisconsin,75
Wyoming,40
