geoName,anxious
Alabama,100
Alaska,67
Arizona,65
Arkansas,85
California,76
Colorado,79
Connecticut,77
Delaware,80
District of Columbia,79
Florida,76
Georgia,82
Hawaii,88
Idaho,51
Illinois,70
Indiana,53
Iowa,61
Kansas,77
Kentucky,67
Louisiana,71
Maine,71
Maryland,81
Massachusetts,72
Michigan,80
Minnesota,64
Mississippi,94
Missouri,68
Montana,61
Nebraska,55
Nevada,80
New Hampshire,76
New Jersey,94
New Mexico,53
New York,81
North Carolina,81
North Dakota,93
Ohio,79
Oklahoma,57
Oregon,73
Pennsylvania,75
Rhode Island,83
South Carolina,93
South Dakota,38
Tennessee,85
Texas,82
Utah,57
Vermont,50
Virginia,84
Washington,70
West Virginia,86
Wisconsin,69
Wyoming,46
