geoName,anxious
Alabama,100
Alaska,93
Arizona,78
Arkansas,83
California,85
Colorado,71
Connecticut,86
Delaware,73
District of Columbia,78
Florida,83
Georgia,77
Hawaii,74
Idaho,81
Illinois,83
Indiana,73
Iowa,58
Kansas,70
Kentucky,85
Louisiana,91
Maine,76
Maryland,96
Massachusetts,94
Michigan,82
Minnesota,90
Mississippi,94
Missouri,74
Montana,77
Nebraska,56
Nevada,71
New Hampshire,84
New Jersey,83
New Mexico,74
New York,81
North Carolina,87
North Dakota,72
Ohio,86
Oklahoma,85
Oregon,50
Pennsylvania,83
Rhode Island,95
South Carolina,95
South Dakota,70
Tennessee,89
Texas,84
Utah,64
Vermont,80
Virginia,66
Washington,80
West Virginia,44
Wisconsin,75
Wyoming,64
