date,child,isPartial
2011-01-02,62,False
2011-01-09,61,False
2011-01-16,63,False
2011-01-23,66,False
2011-01-30,62,False
2011-02-06,65,False
2011-02-13,63,False
2011-02-20,64,False
2011-02-27,64,False
2011-03-06,60,False
2011-03-13,60,False
2011-03-20,64,False
2011-03-27,63,False
2011-04-03,63,False
2011-04-10,64,False
2011-04-17,61,False
2011-04-24,61,False
2011-05-01,62,False
2011-05-08,60,False
2011-05-15,100,False
2011-05-22,66,False
2011-05-29,61,False
2011-06-05,60,False
2011-06-12,62,False
2011-06-19,59,False
2011-06-26,58,False
2011-07-03,60,False
2011-07-10,60,False
2011-07-17,58,False
2011-07-24,57,False
2011-07-31,59,False
2011-08-07,59,False
2011-08-14,61,False
2011-08-21,60,False
2011-08-28,60,False
2011-09-04,60,False
2011-09-11,61,False
2011-09-18,61,False
2011-09-25,62,False
2011-10-02,63,False
2011-10-09,62,False
2011-10-16,63,False
2011-10-23,61,False
2011-10-30,66,False
2011-11-06,66,False
2011-11-13,67,False
2011-11-20,52,False
2011-11-27,64,False
2011-12-04,64,False
2011-12-11,61,False
2011-12-18,53,False
2011-12-25,53,False
