geoName,child
Alabama,85
Alaska,86
Arizona,77
Arkansas,93
California,68
Colorado,75
Connecticut,68
Delaware,82
District of Columbia,85
Florida,78
Georgia,100
Hawaii,66
Idaho,94
Illinois,77
Indiana,89
Iowa,93
Kansas,91
Kentucky,92
Louisiana,89
Maine,71
Maryland,98
Massachusetts,69
Michigan,78
Minnesota,88
Mississippi,89
Missouri,94
Montana,83
Nebraska,84
Nevada,69
New Hampshire,77
New Jersey,74
New Mexico,74
New York,71
North Carolina,97
North Dakota,93
Ohio,86
Oklahoma,85
Oregon,57
Pennsylvania,82
Rhode Island,76
South Carolina,85
South Dakota,89
Tennessee,97
Texas,92
Utah,70
Vermont,78
Virginia,89
Washington,75
West Virginia,97
Wisconsin,94
Wyoming,83
