date,child,isPartial
2016-01-03,81,False
2016-01-10,77,False
2016-01-17,78,False
2016-01-24,82,False
2016-01-31,84,False
2016-02-07,82,False
2016-02-14,79,False
2016-02-21,81,False
2016-02-28,81,False
2016-03-06,78,False
2016-03-13,75,False
2016-03-20,75,False
2016-03-27,78,False
2016-04-03,81,False
2016-04-10,82,False
2016-04-17,78,False
2016-04-24,79,False
2016-05-01,76,False
2016-05-08,76,False
2016-05-15,77,False
2016-05-22,75,False
2016-05-29,91,False
2016-06-05,78,False
2016-06-12,82,False
2016-06-19,75,False
2016-06-26,75,False
2016-07-03,72,False
2016-07-10,72,False
2016-07-17,76,False
2016-07-24,78,False
2016-07-31,100,False
2016-08-07,78,False
2016-08-14,74,False
2016-08-21,75,False
2016-08-28,75,False
2016-09-04,76,False
2016-09-11,78,False
2016-09-18,75,False
2016-09-25,77,False
2016-10-02,77,False
2016-10-09,75,False
2016-10-16,75,False
2016-10-23,76,False
2016-10-30,77,False
2016-11-06,72,False
2016-11-13,83,False
2016-11-20,65,False
2016-11-27,76,False
2016-12-04,77,False
2016-12-11,76,False
2016-12-18,68,False
2016-12-25,70,False
