geoName,child
Alabama,95
Alaska,85
Arizona,79
Arkansas,91
California,66
Colorado,75
Connecticut,72
Delaware,80
District of Columbia,86
Florida,78
Georgia,97
Hawaii,66
Idaho,94
Illinois,77
Indiana,89
Iowa,97
Kansas,85
Kentucky,87
Louisiana,91
Maine,71
Maryland,95
Massachusetts,68
Michigan,72
Minnesota,88
Mississippi,91
Missouri,92
Montana,88
Nebraska,89
Nevada,64
New Hampshire,77
New Jersey,76
New Mexico,73
New York,73
North Carolina,100
North Dakota,94
Ohio,83
Oklahoma,83
Oregon,85
Pennsylvania,79
Rhode Island,76
South Carolina,82
South Dakota,88
Tennessee,95
Texas,90
Utah,70
Vermont,86
Virginia,91
Washington,74
West Virginia,97
Wisconsin,95
Wyoming,86
