geoName,child
Alabama,81
Alaska,81
Arizona,70
Arkansas,86
California,64
Colorado,66
Connecticut,63
Delaware,75
District of Columbia,71
Florida,74
Georgia,96
Hawaii,59
Idaho,78
Illinois,67
Indiana,86
Iowa,80
Kansas,70
Kentucky,88
Louisiana,80
Maine,68
Maryland,84
Massachusetts,67
Michigan,69
Minnesota,82
Mississippi,86
Missouri,95
Montana,80
Nebraska,75
Nevada,65
New Hampshire,66
New Jersey,74
New Mexico,70
New York,69
North Carolina,88
North Dakota,83
Ohio,91
Oklahoma,85
Oregon,80
Pennsylvania,78
Rhode Island,70
South Carolina,77
South Dakota,81
Tennessee,100
Texas,90
Utah,65
Vermont,76
Virginia,81
Washington,71
West Virginia,87
Wisconsin,86
Wyoming,74
