geoName,child
Alabama,94
Alaska,90
Arizona,77
Arkansas,97
California,65
Colorado,74
Connecticut,70
Delaware,89
District of Columbia,85
Florida,82
Georgia,93
Hawaii,69
Idaho,90
Illinois,71
Indiana,90
Iowa,97
Kansas,84
Kentucky,86
Louisiana,92
Maine,70
Maryland,100
Massachusetts,67
Michigan,75
Minnesota,87
Mississippi,85
Missouri,94
Montana,86
Nebraska,83
Nevada,68
New Hampshire,80
New Jersey,76
New Mexico,74
New York,73
North Carolina,99
North Dakota,90
Ohio,79
Oklahoma,84
Oregon,84
Pennsylvania,79
Rhode Island,85
South Carolina,87
South Dakota,93
Tennessee,93
Texas,84
Utah,71
Vermont,84
Virginia,90
Washington,78
West Virginia,97
Wisconsin,92
Wyoming,82
