date,child,isPartial
2014-01-05,91,False
2014-01-12,93,False
2014-01-19,93,False
2014-01-26,93,False
2014-02-02,94,False
2014-02-09,88,False
2014-02-16,91,False
2014-02-23,92,False
2014-03-02,92,False
2014-03-09,90,False
2014-03-16,89,False
2014-03-23,92,False
2014-03-30,93,False
2014-04-06,92,False
2014-04-13,92,False
2014-04-20,91,False
2014-04-27,96,False
2014-05-04,94,False
2014-05-11,96,False
2014-05-18,92,False
2014-05-25,86,False
2014-06-01,89,False
2014-06-08,87,False
2014-06-15,87,False
2014-06-22,91,False
2014-06-29,86,False
2014-07-06,90,False
2014-07-13,87,False
2014-07-20,90,False
2014-07-27,89,False
2014-08-03,87,False
2014-08-10,86,False
2014-08-17,87,False
2014-08-24,86,False
2014-08-31,88,False
2014-09-07,93,False
2014-09-14,100,False
2014-09-21,91,False
2014-09-28,91,False
2014-10-05,93,False
2014-10-12,89,False
2014-10-19,90,False
2014-10-26,89,False
2014-11-02,89,False
2014-11-09,93,False
2014-11-16,91,False
2014-11-23,78,False
2014-11-30,89,False
2014-12-07,86,False
2014-12-14,86,False
2014-12-21,76,False
2014-12-28,81,False
