geoName,child
Alabama,82
Alaska,81
Arizona,74
Arkansas,88
California,64
Colorado,70
Connecticut,67
Delaware,85
District of Columbia,77
Florida,78
Georgia,100
Hawaii,62
Idaho,90
Illinois,74
Indiana,83
Iowa,81
Kansas,83
Kentucky,84
Louisiana,86
Maine,68
Maryland,90
Massachusetts,68
Michigan,75
Minnesota,86
Mississippi,86
Missouri,93
Montana,82
Nebraska,84
Nevada,68
New Hampshire,71
New Jersey,78
New Mexico,73
New York,69
North Carolina,100
North Dakota,86
Ohio,86
Oklahoma,81
Oregon,56
Pennsylvania,80
Rhode Island,75
South Carolina,84
South Dakota,87
Tennessee,96
Texas,85
Utah,70
Vermont,83
Virginia,73
Washington,73
West Virginia,87
Wisconsin,91
Wyoming,80
