geoName,observation
Alabama,56
Alaska,70
Arizona,69
Arkansas,84
California,55
Colorado,62
Connecticut,71
Delaware,45
District of Columbia,63
Florida,66
Georgia,55
Hawaii,76
Idaho,69
Illinois,58
Indiana,78
Iowa,72
Kansas,65
Kentucky,66
Louisiana,92
Maine,46
Maryland,90
Massachusetts,76
Michigan,60
Minnesota,65
Mississippi,87
Missouri,66
Montana,91
Nebraska,58
Nevada,56
New Hampshire,67
New Jersey,68
New Mexico,84
New York,66
North Carolina,79
North Dakota,73
Ohio,87
Oklahoma,55
Oregon,59
Pennsylvania,66
Rhode Island,63
South Carolina,90
South Dakota,52
Tennessee,71
Texas,55
Utah,69
Vermont,100
Virginia,63
Washington,68
West Virginia,82
Wisconsin,61
Wyoming,72
