geoName,observation
Alabama,73
Alaska,75
Arizona,70
Arkansas,85
California,58
Colorado,50
Connecticut,72
Delaware,88
District of Columbia,61
Florida,68
Georgia,56
Hawaii,72
Idaho,91
Illinois,62
Indiana,84
Iowa,61
Kansas,72
Kentucky,65
Louisiana,68
Maine,59
Maryland,100
Massachusetts,73
Michigan,60
Minnesota,64
Mississippi,81
Missouri,81
Montana,67
Nebraska,68
Nevada,72
New Hampshire,88
New Jersey,72
New Mexico,88
New York,73
North Carolina,69
North Dakota,95
Ohio,72
Oklahoma,81
Oregon,63
Pennsylvania,75
Rhode Island,65
South Carolina,76
South Dakota,75
Tennessee,66
Texas,56
Utah,79
Vermont,63
Virginia,77
Washington,70
West Virginia,75
Wisconsin,70
Wyoming,67
