geoName,observation
Alabama,64
Alaska,55
Arizona,73
Arkansas,71
California,67
Colorado,60
Connecticut,73
Delaware,78
District of Columbia,71
Florida,71
Georgia,63
Hawaii,81
Idaho,83
Illinois,75
Indiana,81
Iowa,78
Kansas,69
Kentucky,77
Louisiana,74
Maine,70
Maryland,95
Massachusetts,72
Michigan,56
Minnesota,81
Mississippi,100
Missouri,67
Montana,81
Nebraska,63
Nevada,92
New Hampshire,74
New Jersey,85
New Mexico,61
New York,89
North Carolina,70
North Dakota,53
Ohio,83
Oklahoma,68
Oregon,50
Pennsylvania,94
Rhode Island,67
South Carolina,62
South Dakota,81
Tennessee,68
Texas,62
Utah,79
Vermont,66
Virginia,75
Washington,67
West Virginia,75
Wisconsin,65
Wyoming,67
