date,observation,isPartial
2012-01-01,35,False
2012-01-08,42,False
2012-01-15,42,False
2012-01-22,48,False
2012-01-29,46,False
2012-02-05,49,False
2012-02-12,48,False
2012-02-19,45,False
2012-02-26,46,False
2012-03-04,54,False
2012-03-11,45,False
2012-03-18,42,False
2012-03-25,43,False
2012-04-01,41,False
2012-04-08,45,False
2012-04-15,52,False
2012-04-22,41,False
2012-04-29,49,False
2012-05-06,43,False
2012-05-13,36,False
2012-05-20,39,False
2012-05-27,35,False
2012-06-03,38,False
2012-06-10,38,False
2012-06-17,36,False
2012-06-24,33,False
2012-07-01,32,False
2012-07-08,36,False
2012-07-15,35,False
2012-07-22,34,False
2012-07-29,35,False
2012-08-05,39,False
2012-08-12,43,False
2012-08-19,56,False
2012-08-26,74,False
2012-09-02,70,False
2012-09-09,100,False
2012-09-16,79,False
2012-09-23,71,False
2012-09-30,68,False
2012-10-07,61,False
2012-10-14,56,False
2012-10-21,51,False
2012-10-28,43,False
2012-11-04,45,False
2012-11-11,46,False
2012-11-18,36,False
2012-11-25,45,False
2012-12-02,47,False
2012-12-09,50,False
2012-12-16,37,False
2012-12-23,18,False
2012-12-30,26,False
