date,observation,isPartial
2011-01-02,44,False
2011-01-09,41,False
2011-01-16,49,False
2011-01-23,59,False
2011-01-30,53,False
2011-02-06,56,False
2011-02-13,60,False
2011-02-20,48,False
2011-02-27,49,False
2011-03-06,53,False
2011-03-13,45,False
2011-03-20,49,False
2011-03-27,44,False
2011-04-03,51,False
2011-04-10,52,False
2011-04-17,51,False
2011-04-24,48,False
2011-05-01,51,False
2011-05-08,50,False
2011-05-15,42,False
2011-05-22,36,False
2011-05-29,39,False
2011-06-05,45,False
2011-06-12,42,False
2011-06-19,41,False
2011-06-26,43,False
2011-07-03,39,False
2011-07-10,38,False
2011-07-17,42,False
2011-07-24,33,False
2011-07-31,37,False
2011-08-07,44,False
2011-08-14,47,False
2011-08-21,65,False
2011-08-28,81,False
2011-09-04,79,False
2011-09-11,100,False
2011-09-18,81,False
2011-09-25,77,False
2011-10-02,67,False
2011-10-09,64,False
2011-10-16,61,False
2011-10-23,66,False
2011-10-30,55,False
2011-11-06,54,False
2011-11-13,53,False
2011-11-20,37,False
2011-11-27,56,False
2011-12-04,53,False
2011-12-11,50,False
2011-12-18,27,False
2011-12-25,32,False
