date,observation,isPartial
2013-01-06,36,False
2013-01-13,44,False
2013-01-20,46,False
2013-01-27,48,False
2013-02-03,46,False
2013-02-10,45,False
2013-02-17,43,False
2013-02-24,43,False
2013-03-03,43,False
2013-03-10,44,False
2013-03-17,39,False
2013-03-24,36,False
2013-03-31,45,False
2013-04-07,48,False
2013-04-14,41,False
2013-04-21,44,False
2013-04-28,44,False
2013-05-05,42,False
2013-05-12,40,False
2013-05-19,41,False
2013-05-26,39,False
2013-06-02,38,False
2013-06-09,37,False
2013-06-16,30,False
2013-06-23,30,False
2013-06-30,26,False
2013-07-07,33,False
2013-07-14,30,False
2013-07-21,35,False
2013-07-28,27,False
2013-08-04,36,False
2013-08-11,35,False
2013-08-18,54,False
2013-08-25,73,False
2013-09-01,84,False
2013-09-08,100,False
2013-09-15,87,False
2013-09-22,72,False
2013-09-29,66,False
2013-10-06,59,False
2013-10-13,58,False
2013-10-20,55,False
2013-10-27,54,False
2013-11-03,53,False
2013-11-10,52,False
2013-11-17,48,False
2013-11-24,39,False
2013-12-01,46,False
2013-12-08,49,False
2013-12-15,38,False
2013-12-22,19,False
2013-12-29,23,False
