date,observation,isPartial
2016-01-03,43,False
2016-01-10,43,False
2016-01-17,46,False
2016-01-24,52,False
2016-01-31,52,False
2016-02-07,54,False
2016-02-14,49,False
2016-02-21,52,False
2016-02-28,53,False
2016-03-06,48,False
2016-03-13,45,False
2016-03-20,45,False
2016-03-27,46,False
2016-04-03,49,False
2016-04-10,48,False
2016-04-17,50,False
2016-04-24,48,False
2016-05-01,43,False
2016-05-08,43,False
2016-05-15,41,False
2016-05-22,41,False
2016-05-29,36,False
2016-06-05,37,False
2016-06-12,36,False
2016-06-19,34,False
2016-06-26,37,False
2016-07-03,35,False
2016-07-10,32,False
2016-07-17,31,False
2016-07-24,31,False
2016-07-31,32,False
2016-08-07,37,False
2016-08-14,54,False
2016-08-21,75,False
2016-08-28,83,False
2016-09-04,86,False
2016-09-11,100,False
2016-09-18,75,False
2016-09-25,72,False
2016-10-02,61,False
2016-10-09,56,False
2016-10-16,58,False
2016-10-23,54,False
2016-10-30,48,False
2016-11-06,44,False
2016-11-13,46,False
2016-11-20,31,False
2016-11-27,44,False
2016-12-04,53,False
2016-12-11,46,False
2016-12-18,27,False
2016-12-25,25,False
