geoName,observation
Alabama,67
Alaska,88
Arizona,67
Arkansas,96
California,68
Colorado,64
Connecticut,79
Delaware,88
District of Columbia,81
Florida,77
Georgia,60
Hawaii,69
Idaho,83
Illinois,68
Indiana,79
Iowa,75
Kansas,59
Kentucky,63
Louisiana,76
Maine,87
Maryland,90
Massachusetts,74
Michigan,69
Minnesota,69
Mississippi,84
Missouri,78
Montana,68
Nebraska,68
Nevada,100
New Hampshire,63
New Jersey,78
New Mexico,88
New York,81
North Carolina,81
North Dakota,75
Ohio,94
Oklahoma,72
Oregon,40
Pennsylvania,75
Rhode Island,74
South Carolina,76
South Dakota,96
Tennessee,71
Texas,62
Utah,78
Vermont,61
Virginia,65
Washington,71
West Virginia,87
Wisconsin,62
Wyoming,82
