geoName,observation
Alabama,69
Alaska,91
Arizona,69
Arkansas,95
California,62
Colorado,65
Connecticut,70
Delaware,85
District of Columbia,66
Florida,72
Georgia,63
Hawaii,57
Idaho,57
Illinois,65
Indiana,76
Iowa,62
Kansas,60
Kentucky,75
Louisiana,72
Maine,70
Maryland,86
Massachusetts,70
Michigan,70
Minnesota,72
Mississippi,76
Missouri,63
Montana,79
Nebraska,65
Nevada,76
New Hampshire,67
New Jersey,75
New Mexico,100
New York,82
North Carolina,76
North Dakota,83
Ohio,88
Oklahoma,79
Oregon,45
Pennsylvania,80
Rhode Island,80
South Carolina,85
South Dakota,93
Tennessee,69
Texas,62
Utah,66
Vermont,70
Virginia,76
Washington,66
West Virginia,75
Wisconsin,72
Wyoming,75
