date,observation,isPartial
2015-01-04,38,False
2015-01-11,46,False
2015-01-18,46,False
2015-01-25,52,False
2015-02-01,52,False
2015-02-08,50,False
2015-02-15,42,False
2015-02-22,46,False
2015-03-01,42,False
2015-03-08,43,False
2015-03-15,44,False
2015-03-22,41,False
2015-03-29,40,False
2015-04-05,44,False
2015-04-12,48,False
2015-04-19,46,False
2015-04-26,49,False
2015-05-03,53,False
2015-05-10,42,False
2015-05-17,46,False
2015-05-24,43,False
2015-05-31,45,False
2015-06-07,41,False
2015-06-14,37,False
2015-06-21,38,False
2015-06-28,37,False
2015-07-05,36,False
2015-07-12,33,False
2015-07-19,34,False
2015-07-26,35,False
2015-08-02,38,False
2015-08-09,47,False
2015-08-16,59,False
2015-08-23,82,False
2015-08-30,95,False
2015-09-06,96,False
2015-09-13,100,False
2015-09-20,85,False
2015-09-27,79,False
2015-10-04,69,False
2015-10-11,64,False
2015-10-18,57,False
2015-10-25,54,False
2015-11-01,53,False
2015-11-08,51,False
2015-11-15,53,False
2015-11-22,40,False
2015-11-29,53,False
2015-12-06,54,False
2015-12-13,46,False
2015-12-20,27,False
2015-12-27,33,False
