date,troubled,isPartial
2012-01-01,54,False
2012-01-08,69,False
2012-01-15,70,False
2012-01-22,62,False
2012-01-29,63,False
2012-02-05,82,False
2012-02-12,100,False
2012-02-19,63,False
2012-02-26,68,False
2012-03-04,77,False
2012-03-11,66,False
2012-03-18,60,False
2012-03-25,58,False
2012-04-01,91,False
2012-04-08,65,False
2012-04-15,72,False
2012-04-22,73,False
2012-04-29,65,False
2012-05-06,72,False
2012-05-13,70,False
2012-05-20,74,False
2012-05-27,67,False
2012-06-03,69,False
2012-06-10,62,False
2012-06-17,66,False
2012-06-24,58,False
2012-07-01,83,False
2012-07-08,59,False
2012-07-15,58,False
2012-07-22,59,False
2012-07-29,53,False
2012-08-05,54,False
2012-08-12,63,False
2012-08-19,58,False
2012-08-26,62,False
2012-09-02,54,False
2012-09-09,69,False
2012-09-16,62,False
2012-09-23,66,False
2012-09-30,68,False
2012-10-07,65,False
2012-10-14,67,False
2012-10-21,72,False
2012-10-28,52,False
2012-11-04,55,False
2012-11-11,61,False
2012-11-18,58,False
2012-11-25,60,False
2012-12-02,58,False
2012-12-09,62,False
2012-12-16,68,False
2012-12-23,57,False
2012-12-30,62,False
