date,troubled,isPartial
2016-01-03,69,False
2016-01-10,63,False
2016-01-17,69,False
2016-01-24,79,False
2016-01-31,76,False
2016-02-07,81,False
2016-02-14,69,False
2016-02-21,68,False
2016-02-28,67,False
2016-03-06,67,False
2016-03-13,68,False
2016-03-20,67,False
2016-03-27,66,False
2016-04-03,79,False
2016-04-10,75,False
2016-04-17,77,False
2016-04-24,71,False
2016-05-01,73,False
2016-05-08,61,False
2016-05-15,86,False
2016-05-22,89,False
2016-05-29,66,False
2016-06-05,66,False
2016-06-12,60,False
2016-06-19,66,False
2016-06-26,49,False
2016-07-03,63,False
2016-07-10,61,False
2016-07-17,61,False
2016-07-24,100,False
2016-07-31,55,False
2016-08-07,55,False
2016-08-14,58,False
2016-08-21,63,False
2016-08-28,66,False
2016-09-04,63,False
2016-09-11,63,False
2016-09-18,54,False
2016-09-25,66,False
2016-10-02,51,False
2016-10-09,72,False
2016-10-16,60,False
2016-10-23,67,False
2016-10-30,59,False
2016-11-06,69,False
2016-11-13,64,False
2016-11-20,47,False
2016-11-27,66,False
2016-12-04,61,False
2016-12-11,58,False
2016-12-18,51,False
2016-12-25,59,False
