geoName,troubled
Alabama,84
Alaska,77
Arizona,73
Arkansas,66
California,57
Colorado,75
Connecticut,82
Delaware,86
District of Columbia,65
Florida,67
Georgia,68
Hawaii,49
Idaho,42
Illinois,60
Indiana,74
Iowa,67
Kansas,88
Kentucky,87
Louisiana,100
Maine,63
Maryland,80
Massachusetts,87
Michigan,75
Minnesota,57
Mississippi,98
Missouri,76
Montana,64
Nebraska,76
Nevada,66
New Hampshire,74
New Jersey,67
New Mexico,55
New York,59
North Carolina,75
North Dakota,85
Ohio,60
Oklahoma,88
Oregon,63
Pennsylvania,73
Rhode Island,70
South Carolina,79
South Dakota,49
Tennessee,83
Texas,63
Utah,64
Vermont,65
Virginia,67
Washington,60
West Virginia,69
Wisconsin,65
Wyoming,60
