date,troubled,isPartial
2015-01-04,57,False
2015-01-11,67,False
2015-01-18,65,False
2015-01-25,61,False
2015-02-01,73,False
2015-02-08,61,False
2015-02-15,71,False
2015-02-22,67,False
2015-03-01,68,False
2015-03-08,73,False
2015-03-15,72,False
2015-03-22,74,False
2015-03-29,62,False
2015-04-05,72,False
2015-04-12,64,False
2015-04-19,79,False
2015-04-26,75,False
2015-05-03,78,False
2015-05-10,69,False
2015-05-17,65,False
2015-05-24,70,False
2015-05-31,75,False
2015-06-07,77,False
2015-06-14,74,False
2015-06-21,70,False
2015-06-28,61,False
2015-07-05,56,False
2015-07-12,66,False
2015-07-19,71,False
2015-07-26,60,False
2015-08-02,64,False
2015-08-09,76,False
2015-08-16,77,False
2015-08-23,75,False
2015-08-30,65,False
2015-09-06,100,False
2015-09-13,90,False
2015-09-20,67,False
2015-09-27,62,False
2015-10-04,79,False
2015-10-11,77,False
2015-10-18,65,False
2015-10-25,66,False
2015-11-01,68,False
2015-11-08,72,False
2015-11-15,74,False
2015-11-22,61,False
2015-11-29,70,False
2015-12-06,70,False
2015-12-13,75,False
2015-12-20,57,False
2015-12-27,66,False
