date,troubled,isPartial
2014-01-05,72,False
2014-01-12,82,False
2014-01-19,76,False
2014-01-26,75,False
2014-02-02,73,False
2014-02-09,72,False
2014-02-16,67,False
2014-02-23,84,False
2014-03-02,100,False
2014-03-09,78,False
2014-03-16,79,False
2014-03-23,70,False
2014-03-30,67,False
2014-04-06,78,False
2014-04-13,66,False
2014-04-20,72,False
2014-04-27,87,False
2014-05-04,75,False
2014-05-11,82,False
2014-05-18,86,False
2014-05-25,82,False
2014-06-01,74,False
2014-06-08,54,False
2014-06-15,59,False
2014-06-22,56,False
2014-06-29,56,False
2014-07-06,62,False
2014-07-13,64,False
2014-07-20,57,False
2014-07-27,55,False
2014-08-03,64,False
2014-08-10,58,False
2014-08-17,66,False
2014-08-24,67,False
2014-08-31,52,False
2014-09-07,67,False
2014-09-14,65,False
2014-09-21,78,False
2014-09-28,75,False
2014-10-05,69,False
2014-10-12,70,False
2014-10-19,64,False
2014-10-26,62,False
2014-11-02,67,False
2014-11-09,67,False
2014-11-16,66,False
2014-11-23,64,False
2014-11-30,68,False
2014-12-07,61,False
2014-12-14,60,False
2014-12-21,54,False
2014-12-28,58,False
